# Source term<TAB>Mainland Chinese replacement
網路	网络
伺服器	服务器
滑鼠	鼠标
軟體	软件
硬體	硬件
檔案	文件
資料夾	文件夹
預設	默认
预设	默认
介面	界面
解析度	分辨率
記憶體	内存
顯示卡	显卡
程式	程序
帳戶	账号
帐户	账号
帐号	账号
訊息	消息
連線	连接
斷線	断开连接
當機	崩溃
儲存	保存
載入	加载
啟用	启用
停用	禁用
按一下	单击
點選	点击
游标	光标
身分	身份
覆写	覆盖
登入	登录
登出	退出登录
禅宗	金币
禅意	金币
禅	金币
奇迹币	金币
捲動	滚动
字型	字体
品質	质量
公會	战盟
行會	战盟
公会	战盟
政党	队伍
小队	队伍
混沌城堡	赤色要塞
魔鬼广场	恶魔广场
隐形斗篷	透明披风
混沌哥布尔	玛雅哥布林
混沌哥布林	玛雅哥布林
混沌宝石	玛雅之石
大天使滚动条	血灵之书
恶魔钥匙	恶魔之钥
血骨	血灵之骷
诺里亚	仙踪林
德维亚斯	冰风谷
洛伦西亚	勇者大陆
伊卡洛斯	天空之城
死亡沙漠塔坎	死亡沙漠
塔坎	死亡沙漠
卡戎	卡隆
MU大陆	奇迹大陆
穆大陆	奇迹大陆
瑞纳斯	瑞纳
蕾娜	瑞纳
雷纳	瑞纳
黄金弓手	黄金弓箭手
金弓手	黄金弓箭手
透过	通过
卷动	滚动
侦测	检测
安装档	安装文件
储值	充值
复原	恢复
画面	屏幕
水准	水平
Official MU Helper	奇迹助手
MU Helper	奇迹助手
官方MU助手	奇迹助手
官方 MU助手	奇迹助手
MU助手	奇迹助手
MU助理	奇迹助手
Errtels	艾尔特
Errtel	艾尔特
Acheron	阿卡伦
Crywolf	狼魂要塞
PC Bang	网吧
PC Cafe	网吧
