route,map_id,map_name,monster_id,name,master,content_rank,kind,hp,damage,armor,xp,zen,spawn_count
start,0,"Lorencia",0,"Bull Fighter",False,7.82,normal,178.93,16.10,15.08,152.47,17,45
start,0,"Lorencia",3,"Spider",False,1,normal,110.01,10.78,10.65,37.55,9,45
start,0,"Lorencia",2,"Budge Dragon",False,4.41,normal,144.33,13.44,12.87,88.62,13,60
start,0,"Lorencia",6,"Lich",False,21.47,normal,320.23,26.75,23.96,536.17,33,20
start,0,"Lorencia",14,"Skeleton Warrior",False,30,normal,410.80,33.40,29.50,880.00,45,15
start,0,"Lorencia",1,"Hound",False,12.94,normal,231.41,20.09,18.41,272.37,23,45
start,0,"Lorencia",4,"Elite Bull Fighter",False,18.06,normal,284.51,24.09,21.74,421.11,29,45
start,0,"Lorencia",7,"Giant",False,26.59,normal,374.38,30.74,27.28,732.95,40,15
dungeon,1,"Dungeon",8,"Poison Bull",False,90,normal,1097.20,80.20,68.50,5560.00,139,40
dungeon,1,"Dungeon",16,"Elite Skeleton",False,85.56,normal,1043.45,76.74,65.61,5078.00,131,44
dungeon,1,"Dungeon",14,"Skeleton Warrior",False,60,normal,743.20,56.80,49.00,2725.00,88,62
dungeon,1,"Dungeon",12,"Larva",False,66.67,normal,820.04,62.00,53.34,3269.73,99,44
dungeon,1,"Dungeon",15,"Skeleton Archer",False,76.67,normal,937.24,69.80,59.84,4178.10,116,36
dungeon,1,"Dungeon",11,"Ghost",False,74.44,normal,910.90,68.06,58.39,3966.00,112,114
dungeon,1,"Dungeon",17,"Cyclops",False,70,normal,858.80,64.60,55.50,3560.00,105,62
dungeon,1,"Dungeon",5,"Hell Hound",False,81.11,normal,990.05,73.27,62.72,4616.68,124,28
dungeon,1,"Dungeon",13,"Hell Spider",False,83.33,normal,1016.63,75.00,64.16,4844.10,127,18
dungeon,1,"Dungeon",9,"Thunder Lich",False,87.78,normal,1070.26,78.47,67.06,5316.29,135,42
dungeon,1,"Dungeon",10,"Dark Knight",False,92.22,normal,1124.25,81.93,69.94,5809.13,143,14
dungeon,1,"Dungeon",18,"Gorgon",False,100,normal,1220.00,88.00,75.00,6725.00,158,8
devias,2,"Devias",20,"Elite Yeti",False,45,normal,574.30,45.10,39.25,1678.75,66,235
devias,2,"Devias",25,"Ice Queen",False,65,normal,800.70,60.70,52.25,3128.75,96,75
devias,2,"Devias",23,"Hommerd",False,30,normal,410.80,33.40,29.50,880.00,45,75
devias,2,"Devias",22,"Ice Monster",False,27.5,normal,384.07,31.45,27.88,770.94,41,75
devias,2,"Devias",24,"Worm",False,25,normal,357.50,29.50,26.25,668.75,38,65
devias,2,"Devias",21,"Assassin",False,32.5,normal,437.68,35.35,31.12,995.94,48,35
start,3,"Noria",26,"Goblin",False,1,normal,110.01,10.78,10.65,37.55,9,155
start,3,"Noria",27,"Chain Scorpion",False,4.87,normal,148.98,13.80,13.17,96.48,13,125
start,3,"Noria",28,"Beetle Monster",False,14.53,normal,247.83,21.33,19.44,315.48,25,125
start,3,"Noria",29,"Hunter",False,20.33,normal,308.26,25.86,23.21,496.28,32,125
start,3,"Noria",30,"Forest Monster",False,24.2,normal,349.03,28.88,25.73,637.50,37,125
start,3,"Noria",31,"Agon",False,26.13,normal,369.49,30.38,26.98,714.09,39,125
