class,build,normal_hours,master_hours,total_hours,max_normal_level_minutes,max_master_level_minutes
DK,assault,29.5857,47.7471,77.3328,11.1497,20.2723
DK,guard,29.4514,46.3635,75.8149,10.3330,19.9603
DW,elemental,31.9932,52.4395,84.4328,12.2391,22.2670
DW,barrier,27.3787,42.3779,69.7565,9.8840,18.0090
FE,marksman,27.6649,47.0936,74.7585,10.2117,20.2533
FE,support,31.9544,53.4365,85.3909,12.4708,22.7053
MG,blade,35.5119,59.4936,95.0054,12.6932,26.0707
MG,spell,31.7373,49.7014,81.4387,11.0773,23.1307
DL,command,30.1300,47.7544,77.8844,11.1583,20.2614
DL,force,32.2375,56.1824,88.4199,11.1583,26.4979
SU,curse,33.0836,54.7837,87.8673,11.7880,24.2058
SU,sustain,29.9880,49.2762,79.2642,11.0477,21.3086
RF,brawler,27.1396,43.9442,71.0838,10.2353,18.6813
RF,vitality,28.6435,43.8862,72.5297,10.1093,19.4617
